Chr	Start	End	Length	Midpoint	PanHits	Feature_name	Name	Type	Direction	WatsonHpM	CrickHpM	TotalHpM	BGHpM	Total-BGHpM	WatsonHpM300	CrickHpM300	TotalHpM300	BGHpM300	Total-BGHpM300	NormHpM	NormHpM300
5	409400	409675	276	409533.5	1531	YER124C	DSE1	divergent	-,+	553.75	201.86	755.61	0.91	754.7	556.22	204.33	760.55	2.9	757.65	854.06	811.9
5	414248	414465	218	414352.5	792	YER127W	LCP5	divergent	-,+	199.39	191.49	390.88	0.72	390.16	200.38	194.45	394.83	2.71	392.13	441.53	420.2
5	415652	415851	200	415747.5	352	YER128W	null	directional	+,+	59.72	114.01	173.73	0.66	173.06	62.68	117.46	180.14	2.65	177.5	195.85	190.2
5	416532	416754	223	416639	829	YER128W	null	directional	+,+	181.62	227.52	409.15	0.74	408.41	188.04	231.96	420	2.72	417.28	462.18	447.16
5	422597	422781	185	422685	179	YER130C	null	divergent	-,+	38.5	49.85	88.34	0.61	87.73	43.93	60.21	104.14	2.6	101.54	99.28	108.81
5	423183	423234	52	423204.5	46	YER131W	RPS26B	divergent	-,+	8.88	13.82	22.7	0.17	22.53	22.7	24.68	47.38	2.16	45.22	25.5	48.46
5	430866	431363	498	431110.5	528	YERCdelta14	null	divergent	-,+	130.79	129.8	260.59	1.65	258.94	145.1	145.59	290.7	3.63	287.06	293.04	307.62
5	432248	432426	179	432333	259	YER133W	GLC7	divergent	-,+	72.55	55.28	127.83	0.59	127.23	73.04	61.69	134.74	2.58	132.16	143.99	141.62
5	432847	433063	217	432951	262	YER133W	GLC7	NA	NA	61.2	68.11	129.31	0.72	128.59	64.16	72.55	136.71	2.7	134.01	145.52	143.6
5	435652	435740	89	435692	94	tK(CUU)E2	null	convergent	+,-	25.17	21.22	46.39	0.29	46.1	27.14	22.7	49.85	2.28	47.57	52.17	50.97
5	438966	439423	458	439190.5	578	ARS518	null	divergent	-,+	108.58	176.69	285.27	1.52	283.75	112.53	182.61	295.14	3.5	291.64	321.11	312.52
5	442085	442527	443	442302	385	ARS519	null	directional_overlapping	-,-	141.15	48.86	190.01	1.47	188.55	148.56	58.73	207.29	3.45	203.84	213.37	218.43
5	451357	451557	201	451452	286	YER140W	null	divergent	-,+	70.58	70.58	141.15	0.67	140.49	79.95	77.49	157.44	2.65	154.79	158.98	165.87
5	453111	453393	283	453247	1276	YER140W	null	directional	+,+	343.01	286.75	629.76	0.94	628.82	350.41	291.68	642.1	2.92	639.17	711.61	684.94
5	456079	456264	186	456166.5	326	YER142C	MAG1	divergent	-,+	81.43	79.46	160.89	0.62	160.28	87.36	84.89	172.25	2.6	169.64	181.38	181.79
5	460295	460448	154	460366.5	127	YER144C	UBP5	directional	-,-	32.08	30.6	62.68	0.51	62.17	38.5	36.52	75.02	2.49	72.52	70.36	77.72
5	460989	461122	134	461050.5	135	YER145C	FTR1	NA	NA	44.91	21.72	66.63	0.44	66.18	47.38	26.16	73.54	2.43	71.11	74.9	76.2
5	461461	462542	1082	461996.5	3620	YER145C	FTR1	divergent	-,+	787.69	998.93	1786.62	3.58	1783.04	793.61	1010.28	1803.89	5.57	1798.32	2017.8	1927.09
5	462844	463634	791	463234	718	YER147C	SCC4	NA	NA	157.44	196.92	354.36	2.62	351.74	165.83	210.25	376.08	4.6	371.48	398.06	398.07
5	464931	465052	122	464986.5	93	YER147C	SCC4	divergent	-,+	24.18	21.72	45.9	0.4	45.5	28.63	28.63	57.25	2.39	54.86	51.49	58.79
5	467556	468169	614	467857.5	1124	YER149C	PEA2	divergent	-,+	259.11	295.63	554.74	2.03	552.71	260.59	299.58	560.17	4.02	556.15	625.48	595.97
5	472519	472845	327	472677	547	YER152C	null	NA	NA	129.8	140.17	269.97	1.08	268.88	135.72	146.09	281.81	3.07	278.74	304.29	298.7
5	473970	474980	1011	474470	3153	YER152C	null	NA	NA	623.34	932.79	1556.13	3.35	1552.79	630.74	954.01	1584.76	5.33	1579.43	1757.24	1692.52
5	482956	483302	347	483124	891	YER156C	null	directional	-,-	305.5	134.24	439.74	1.15	438.6	309.45	141.65	451.1	3.13	447.96	496.34	480.04
5	484331	484758	428	484539.5	1368	YER156C	null	divergent	-,+	321.29	353.87	675.16	1.42	673.75	324.75	359.3	684.05	3.4	680.65	762.46	729.38
5	490890	491805	916	491342.5	2857	YER159C	BUR6	directional	-,-	628.28	781.77	1410.05	3.03	1407.01	646.54	796.57	1443.11	5.02	1438.1	1592.27	1541.07
5	503838	504020	183	503924	237	YER163C	null	divergent	-,+	38.5	78.47	116.97	0.61	116.36	44.91	79.95	124.87	2.59	122.27	131.68	131.03
5	509950	510126	177	510033	129	YER164W	CHD1	directional	+,+	27.64	36.03	63.67	0.59	63.08	35.04	40.96	76.01	2.57	73.43	71.39	78.69
5	512277	512417	141	512342	136	YER165W	PAB1	directional	+,+	37.02	30.11	67.12	0.47	66.65	39.48	34.05	73.54	2.45	71.09	75.43	76.18
5	517620	517783	164	517696.5	161	YER166W	DNF1	directional	+,+	38.5	40.96	79.46	0.54	78.92	44.91	48.86	93.77	2.53	91.24	89.31	97.78
5	522717	523120	404	522913.5	992	YER168C	CCA1	divergent	-,+	232.46	257.13	489.59	1.34	488.26	235.42	260.59	496.01	3.32	492.69	552.54	527.96
5	525747	525923	177	525830	117	YER169W	RPH1	directional	+,+	32.08	25.66	57.74	0.59	57.16	42.44	27.64	70.08	2.57	67.51	64.68	72.35
5	526454	526500	47	526472	51	YER170W	ADK2	NA	NA	9.38	15.79	25.17	0.16	25.02	16.29	21.72	38	2.14	35.86	28.31	38.43
5	526783	526959	177	526866	180	YER171W	RAD3	directional	+,+	45.41	43.43	88.84	0.59	88.25	50.34	49.85	100.19	2.57	97.62	99.87	104.61
5	536103	536146	44	536119.5	48	YER172C	BRR2	divergent	-,+	12.83	10.86	23.69	0.15	23.54	21.22	22.7	43.93	2.13	41.79	26.64	44.79
5	541463	541623	161	541538	174	YER176W	ECM32	directional	+,+	56.76	29.12	85.88	0.53	85.34	59.72	33.07	92.79	2.52	90.27	96.58	96.73
5	545055	545555	501	545300	330	YER176W	ECM32	directional	+,+	86.86	76.01	162.87	1.66	161.21	99.2	81.93	181.13	3.64	177.49	182.44	190.2
5	546537	546741	205	546634	298	YER178W	PDA1	directional	+,+	55.77	91.31	147.08	0.68	146.4	59.72	94.76	154.48	2.66	151.81	165.67	162.69
5	551200	551289	90	551239.5	69	tI(AAU)E2	null	divergent	-,+	6.91	27.14	34.05	0.3	33.76	9.87	31.59	41.46	2.28	39.17	38.2	41.98
5	559140	559290	151	559210	117	YER185W	PUG1	divergent	-,+	22.7	35.04	57.74	0.5	57.24	27.14	39.98	67.12	2.49	64.64	64.78	69.26
5	560530	560618	89	560569	73	YER185W	PUG1	convergent	+,-	14.81	21.22	36.03	0.29	35.73	17.77	26.16	43.93	2.28	41.65	40.44	44.63
5	570327	570363	37	570340	53	TEL05R	null	divergent_overlapping	-,+	18.75	7.4	26.16	0.12	26.04	18.75	7.9	26.65	2.11	24.54	29.46	26.3
6	4150	4188	39	4169	40	TEL06L	null	divergent_overlapping	-,+	12.34	7.4	19.74	0.13	19.61	17.77	8.88	26.65	2.11	24.54	22.19	26.29
6	16496	16721	226	16608.5	317	YFL055W	AGP3	divergent	-,+	79.46	76.99	156.45	0.75	155.7	87.85	81.93	169.78	2.73	167.04	176.21	179.01
6	19662	19764	103	19713	56	YFL055W	AGP3	convergent	+,-	15.3	12.34	27.64	0.34	27.3	27.14	27.14	54.29	2.33	51.96	30.89	55.68
6	27467	28205	739	27836	782	YFL052W	null	directional	+,+	222.59	163.36	385.95	2.45	383.5	224.56	167.8	392.36	4.43	387.93	434	415.71
6	30826	31591	766	31208.5	2269	YFL051C	null	directional	-,-	534.5	585.34	1119.84	2.53	1117.31	545.86	595.21	1141.07	4.52	1136.55	1264.42	1217.93
6	32050	32312	263	32181	383	ARS601	ARS601	directional	-,-	118.45	70.58	189.03	0.87	188.16	138.68	77.49	216.17	2.86	213.32	212.93	228.59
6	36054	36250	197	36152	373	YFL050C	ALR2	divergent	-,+	90.32	93.77	184.09	0.65	183.44	99.7	98.71	198.4	2.64	195.77	207.59	209.78
6	36555	36800	246	36677.5	746	YFL049W	SWP82	divergent	-,+	157.93	210.25	368.18	0.81	367.37	165.34	214.69	380.03	2.8	377.23	415.74	404.24
6	40231	40420	190	40325.5	248	YFL047W	RGD2	divergent	-,+	69.1	53.3	122.4	0.63	121.77	93.28	54.29	147.57	2.61	144.95	137.8	155.33
6	42650	42744	95	42697	72	YFL046W	FMP32	directional	+,+	15.79	19.74	35.53	0.31	35.22	22.7	25.66	48.37	2.3	46.07	39.86	49.37
6	44477	44706	230	44591.5	441	YFL044C	OTU1	directional	-,-	93.77	123.88	217.65	0.76	216.89	98.71	129.8	228.51	2.75	225.76	245.45	241.93
6	45644	45736	93	45690	67	YFL042C	null	directional	-,-	20.24	12.83	33.07	0.31	32.76	26.65	17.77	44.42	2.29	42.13	37.07	45.14
6	47723	48024	302	47873.5	269	YFL042C	null	divergent	-,+	85.38	47.38	132.76	1	131.76	115.49	73.54	189.03	2.98	186.04	149.11	199.36
6	48467	48550	84	48508.5	49	YFL041W-A	null	divergent	-,+	15.79	8.39	24.18	0.28	23.91	59.72	37.02	96.73	2.26	94.47	27.05	101.24
6	48894	49162	269	49028	861	YFL041W	FET5	directional	+,+	208.77	216.17	424.94	0.89	424.05	237.39	236.9	474.29	2.88	471.42	479.88	505.17
6	51145	51267	123	51206	90	YFL040W	null	directional	+,+	27.14	17.27	44.42	0.41	44.01	33.07	19.25	52.32	2.39	49.92	49.81	53.5
6	54474	54595	121	54534	157	YFL039C	ACT1	NA	NA	49.35	28.13	77.49	0.4	77.09	58.73	34.55	93.28	2.39	90.89	87.23	97.4
6	54892	55320	429	55105	591	YFL038C	YPT1	directional	-,-	196.92	94.76	291.68	1.42	290.26	202.85	98.71	301.55	3.4	298.15	328.48	319.5
6	56068	56269	202	56167.5	617	YFL037W	TUB2	divergent	-,+	193.96	110.55	304.51	0.67	303.85	194.45	113.51	307.97	2.65	305.32	343.85	327.18
6	57939	58406	468	58171.5	301	RUF21	RUF21	directional	+,+	65.64	79.46	145.1	1.55	143.55	80.45	87.85	168.3	3.53	164.76	162.45	176.56
6	64127	64173	47	64149	47	YFL034C-A	RPL22B	directional	-,-	12.83	10.36	23.2	0.16	23.04	16.78	12.34	29.12	2.14	26.98	26.07	28.91
6	65036	65259	223	65146	175	YFL034C-A	RPL22B	divergent	-,+	58.73	27.64	86.37	0.74	85.63	62.19	30.11	92.29	2.72	89.57	96.91	95.98
6	73857	73918	62	73885.5	99	YFL033C	RIM15	NA	NA	5.43	43.43	48.86	0.21	48.66	7.9	45.9	53.8	2.19	51.61	55.06	55.3
6	74599	75056	458	74825.5	3343	YFL031W	HAC1	divergent	-,+	972.77	677.14	1649.91	1.52	1648.39	982.15	684.05	1666.19	3.5	1662.69	1865.43	1781.75
6	76215	76773	559	76492	1204	YFL030W	AGX1	directional	+,+	208.77	385.46	594.22	1.85	592.37	223.57	399.27	622.85	3.84	619.01	670.37	663.34
6	80275	80407	133	80339	101	YFL027C	GYP8	directional	-,-	18.75	31.09	49.85	0.44	49.41	26.16	33.56	59.72	2.43	57.29	55.91	61.4
6	82228	82369	142	82296.5	127	YFL026W	STE2	divergent	-,+	28.63	34.05	62.68	0.47	62.21	43.93	53.3	97.23	2.46	94.77	70.4	101.56
6	87363	87481	119	87420	99	YFL025C	BST1	directional	-,-	33.56	15.3	48.86	0.39	48.47	38.5	20.73	59.22	2.38	56.85	54.85	60.92
6	90405	90490	86	90445.5	84	YFL024C	EPL1	divergent	-,+	16.29	25.17	41.46	0.28	41.17	37.51	42.94	80.45	2.27	78.18	46.59	83.78
6	90727	90828	102	90775.5	57	YFL023W	BUD27	divergent	-,+	14.81	13.33	28.13	0.34	27.79	52.81	44.42	97.23	2.32	94.9	31.45	101.7
6	95110	96284	1175	95695	10255	YFL021W	GAT1	divergent	-,+	2857.11	2204.15	5061.26	3.89	5057.37	2869.94	2213.04	5082.97	5.87	5077.1	5723.25	5440.65
6	98852	98981	130	98910.5	90	YFL020C	PAU5	convergent	+,-	19.74	24.68	44.42	0.43	43.99	24.18	28.63	52.81	2.42	50.39	49.78	54
6	103242	103654	413	103442	261	YFL017W-A	SMX2	divergent	-,+	60.71	68.11	128.81	1.37	127.45	64.16	69.59	133.75	3.35	130.4	144.23	139.73
6	106306	106871	566	106582.5	855	YFL016C	MDJ1	divergent	-,+	227.52	194.45	421.98	1.87	420.1	236.9	204.33	441.23	3.86	437.37	475.42	468.68
6	107878	107951	74	107908.5	42	YFL013C	IES1	NA	NA	14.31	6.42	20.73	0.24	20.48	26.65	18.75	45.41	2.23	43.18	23.18	46.27
6	110040	110179	140	110103.5	93	YFL013C	IES1	divergent	-,+	25.17	20.73	45.9	0.46	45.44	34.55	27.64	62.19	2.45	59.74	51.42	64.01
6	111870	112061	192	111959.5	220	YFL011W	HXT10	directional	+,+	56.26	52.32	108.58	0.64	107.94	62.19	54.29	116.48	2.62	113.85	122.16	122.01
6	114026	114762	737	114388	1365	YFL011W	HXT10	directional_overlapping	+,+	379.53	294.15	673.68	2.44	671.24	395.33	307.48	702.8	4.42	698.38	759.62	748.38
6	115747	115939	193	115837	590	YFL010C	WWM1	divergent_overlapping	-,+	142.63	148.56	291.19	0.64	290.55	151.02	153	304.02	2.62	301.4	328.81	322.98
6	119142	119362	221	119247	437	YFL008W	SMC1	directional	+,+	125.85	89.82	215.68	0.73	214.95	134.24	99.2	233.44	2.72	230.73	243.25	247.25
6	129947	130105	159	130021	287	YFL007W	BLM10	directional	+,+	95.25	46.39	141.65	0.53	141.12	98.71	51.82	150.53	2.51	148.02	159.7	158.62
6	131352	131750	399	131546	1058	RUF20	RUF20	directional	+,+	267.5	254.67	522.17	1.32	520.85	273.42	267.5	540.92	3.31	537.61	589.42	576.11
6	137184	137633	450	137403.5	1484	YFL003C	MSH4	divergent_overlapping	-,+	434.32	298.1	732.41	1.49	730.93	453.07	317.35	770.42	3.47	766.94	827.16	821.86
6	144200	144349	150	144269.5	109	YFLWtau1	null	convergent_overlapping	+,-	34.05	19.74	53.8	0.5	53.3	41.46	31.59	73.04	2.48	70.56	60.32	75.61
6	149813	149956	144	149879.5	124	YFR002W	NIC96	directional	+,+	15.3	45.9	61.2	0.48	60.72	16.78	47.38	64.16	2.46	61.7	68.72	66.12
6	153251	153334	84	153287.5	57	YFR004W	RPN11	divergent	-,+	17.77	10.36	28.13	0.28	27.85	23.69	18.75	42.44	2.26	40.18	31.52	43.06
6	155952	156118	166	156029.5	121	YFR006W	null	divergent	-,+	28.13	31.59	59.72	0.55	59.17	40.47	40.47	80.94	2.53	78.41	66.96	84.02
6	157807	157919	113	157857	115	tF(GAA)F	null	directional	+,+	24.18	32.57	56.76	0.37	56.38	35.53	50.83	86.37	2.36	84.01	63.81	90.03
6	160210	160500	291	160349	397	YFR007W	YFH7	NA	NA	116.48	79.46	195.94	0.96	194.97	124.87	91.8	216.66	2.95	213.72	220.64	229.02
6	162242	162437	196	162333.5	458	tG(GCC)F1	SUF20	directional	+,+	105.62	120.42	226.04	0.65	225.39	117.96	129.8	247.76	2.63	245.12	255.07	262.68
6	164796	164988	192	164885.5	208	YFR009W	GCN20	directional	+,+	46.89	55.77	102.66	0.64	102.02	47.87	57.74	105.62	2.62	103	115.45	110.37
6	167350	167435	86	167385.5	64	tY(GUA)F1	SUP11	divergent	-,+	14.81	16.78	31.59	0.28	31.3	26.16	32.08	58.24	2.27	55.97	35.42	59.98
6	169288	169820	533	169546	433	YFR012W-A	null	directional	+,+	89.82	123.88	213.7	1.76	211.94	93.28	125.85	219.13	3.75	215.38	239.84	230.81
6	173419	173585	167	173494	132	YFR014C	CMK1	NA	NA	23.2	41.95	65.15	0.55	64.59	29.61	50.34	79.95	2.54	77.42	73.1	82.96
6	173938	174161	224	174041.5	230	YFR014C	CMK1	directional	-,-	55.28	58.24	113.51	0.74	112.77	59.22	67.62	126.84	2.73	124.11	127.62	133
6	176662	176960	299	176803	216	YFR016C	null	directional	-,-	66.63	39.98	106.6	0.99	105.62	72.06	46.89	118.94	2.97	115.97	119.52	124.27
6	181987	182198	212	182080.5	222	YFR017C	null	directional	-,-	56.76	52.81	109.57	0.7	108.86	67.62	59.72	127.33	2.69	124.65	123.2	133.57
6	182989	183210	222	183087.5	114	YFR018C	null	directional	-,-	35.53	20.73	56.26	0.73	55.53	62.19	39.98	102.16	2.72	99.44	62.84	106.56
6	184012	184393	382	184190.5	302	YFR018C	null	NA	NA	51.33	97.72	149.05	1.26	147.79	64.65	107.1	171.75	3.25	168.5	167.24	180.57
6	191433	191726	294	191567.5	211	YFRCdelta9	null	directional	+,+	65.15	38.99	104.14	0.97	103.16	67.62	43.93	111.54	2.96	108.58	116.75	116.36
6	192371	192642	273	192495	2431	YFRCdelta9	null	directional	+,+	634.69	559.67	1194.37	0.9	1193.46	645.06	566.58	1211.64	2.89	1208.75	1350.6	1295.31
6	194510	194697	188	194592.5	238	YFR021W	ATG18	directional	+,+	47.87	69.59	117.46	0.62	116.84	60.21	78.97	139.18	2.61	136.57	132.22	146.35
6	196333	196659	327	196484	270	YFR021W	ATG18	directional	+,+	68.11	65.15	133.26	1.08	132.17	78.97	73.04	152.01	3.07	148.94	149.58	159.61
6	199055	199900	846	199465.5	688	YFR023W	PES4	directional	+,+	194.45	145.1	339.56	2.8	336.76	202.85	152.01	354.86	4.78	350.07	381.1	375.14
6	203412	204234	823	203811	1878	YFR025C	HIS2	NA	NA	504.89	421.98	926.87	2.72	924.15	513.28	426.42	939.7	4.71	934.99	1045.82	1001.94
6	204837	205134	298	204973.5	465	YFR025C	HIS2	directional	-,-	134.74	94.76	229.5	0.99	228.51	156.95	104.63	261.58	2.97	258.61	258.6	277.12
6	205742	205961	220	205839.5	419	YFR026C	ULI1	NA	NA	73.54	133.26	206.79	0.73	206.07	79.46	145.59	225.05	2.71	222.34	233.2	238.26
6	206303	206568	266	206423.5	927	YFR026C	ULI1	divergent	-,+	244.8	212.72	457.51	0.88	456.63	255.65	222.09	477.75	2.87	474.88	516.75	508.89
6	207165	207423	259	207282	727	YFRWdelta10	null	divergent	-,+	153.49	205.31	358.8	0.86	357.95	163.86	213.21	377.06	2.84	374.22	405.08	401.02
6	207839	207899	61	207857	45	YFR027W	ECO1	NA	NA	8.88	13.33	22.21	0.2	22.01	17.27	18.75	36.03	2.19	33.84	24.91	36.26
6	210127	210924	798	210513.5	1780	YFR029W	PTR3	divergent	-,+	383.97	494.53	878.5	2.64	875.86	389.4	506.37	895.78	4.63	891.15	991.18	954.96
6	212982	213204	223	213081	211	YFR029W	PTR3	directional	+,+	49.85	54.29	104.14	0.74	103.4	55.28	69.59	124.87	2.72	122.14	117.01	130.89
6	220193	220319	127	220244	97	YFR031C	SMC2	directional	-,-	13.82	34.05	47.87	0.42	47.45	34.55	50.83	85.38	2.41	82.98	53.7	88.92
6	221593	222034	442	221801.5	221	YFR032C	RRT5	directional	-,-	54.78	54.29	109.07	1.46	107.61	61.69	60.21	121.9	3.45	118.46	121.78	126.94
6	223884	224170	287	224015	151	YFR032C-B	null	directional_overlapping	-,-	48.86	25.66	74.52	0.95	73.57	54.29	30.6	84.89	2.94	81.95	83.26	87.82
6	224879	225558	680	225206.5	967	YFR034C	PHO4	NA	NA	249.24	228.02	477.25	2.25	475	256.64	235.91	492.55	4.24	488.32	537.54	523.28
6	226005	226957	952	226468.5	2574	YFR036W	CDC26	divergent	-,+	633.71	636.67	1270.37	3.15	1267.22	639.63	641.11	1280.74	5.14	1275.6	1434.07	1366.94
6	229199	229388	190	229280.5	474	YFR038W	IRC5	divergent	-,+	101.18	132.76	233.94	0.63	233.31	105.12	141.15	246.28	2.61	243.66	264.03	261.11
6	233658	233958	301	233795	821	YFR039C	null	divergent	-,+	259.6	145.59	405.2	1	404.2	263.55	148.56	412.11	2.98	409.12	457.42	438.42
6	237479	237552	74	237502.5	47	YFR041C	ERJ5	NA	NA	4.94	18.26	23.2	0.24	22.95	13.82	25.17	38.99	2.23	36.76	25.97	39.39
6	238271	238397	127	238321	122	YFR041C	ERJ5	divergent	-,+	25.17	35.04	60.21	0.42	59.79	31.09	40.47	71.56	2.41	69.16	67.66	74.11
6	241465	241662	198	241550.5	383	YFR044C	DUG1	divergent	-,+	112.53	76.5	189.03	0.66	188.37	128.81	97.23	226.04	2.64	223.4	213.17	239.4
6	244117	244300	184	244195.5	280	YFR047C	BNA6	directional	-,-	69.59	68.6	138.19	0.61	137.58	81.93	82.91	164.84	2.59	162.25	155.7	173.87
6	245149	245429	281	245276	519	YFR047C	BNA6	divergent	-,+	120.42	135.72	256.15	0.93	255.22	124.87	142.14	267.01	2.92	264.09	288.82	283
6	245900	246090	191	245982	477	YFR048W	RMD8	divergent	-,+	94.76	140.66	235.42	0.63	234.79	104.14	155.47	259.6	2.62	256.98	265.7	275.39
6	248086	248322	237	248191	428	YFR048W	RMD8	directional	+,+	102.16	109.07	211.24	0.78	210.45	104.63	110.06	214.69	2.77	211.92	238.16	227.1
6	249957	250028	72	249979.5	44	YFR050C	PRE4	directional	-,-	14.81	6.91	21.72	0.24	21.48	24.68	14.31	38.99	2.22	36.77	24.31	39.4
6	251892	252441	550	252153.5	383	YFR052W	RPN12	divergent	-,+	85.88	103.15	189.03	1.82	187.21	87.85	105.62	193.47	3.81	189.66	211.85	203.24
6	255338	256175	838	255743.5	819	ARS609	ARS609	divergent	-,+	227.03	177.18	404.21	2.77	401.44	248.25	190.51	438.76	4.76	434	454.29	465.08
6	261138	261257	120	261184.5	92	YFR055W	IRC7	divergent	-,+	25.66	19.74	45.41	0.4	45.01	31.59	22.21	53.8	2.38	51.41	50.93	55.09
6	261617	261748	132	261669.5	134	YFR055W	IRC7	divergent	-,+	36.03	30.11	66.13	0.44	65.7	39.48	33.07	72.55	2.42	70.13	74.35	75.15
6	262884	262961	78	262909.5	53	YFR055W	IRC7	divergent	-,+	11.84	14.31	26.16	0.26	25.9	38	34.05	72.06	2.24	69.81	29.31	74.81
6	263183	263409	227	263283	371	YFR055W	IRC7	divergent	-,+	102.66	80.45	183.1	0.75	182.35	137.7	115.98	253.68	2.74	250.94	206.36	268.91
6	263659	264034	376	263833.5	1311	YFR055W	IRC7	divergent	-,+	227.03	420	647.03	1.24	645.79	255.65	436.29	691.94	3.23	688.71	730.81	738.03
7	20486	20722	237	20604	135	YGL255W	ZRT1	directional	+,+	34.55	32.08	66.63	0.78	65.84	48.37	51.33	99.7	2.77	96.93	74.51	103.87
7	23366	23647	282	23506.5	328	YGL254W	FZF1	directional	+,+	76.99	84.89	161.88	0.93	160.95	81.43	87.85	169.28	2.92	166.37	182.14	178.28
7	31711	31826	116	31768.5	67	YGL251C	HFM1	divergent	-,+	15.3	17.77	33.07	0.38	32.68	24.18	21.22	45.41	2.37	43.04	36.99	46.12
7	35347	35458	112	35402.5	66	YGL249W	ZIP2	directional	+,+	18.75	13.82	32.57	0.37	32.2	34.05	28.63	62.68	2.36	60.32	36.44	64.64
7	38884	38977	94	38930.5	54	YGL245W	GUS1	divergent	-,+	11.84	14.81	26.65	0.31	26.34	19.25	24.68	43.93	2.3	41.63	29.81	44.61
7	41248	41450	203	41349	516	YGL244W	RTF1	directional	+,+	134.74	119.93	254.67	0.67	254	135.23	122.4	257.63	2.66	254.97	287.44	273.23
7	43193	43344	152	43268.5	150	YGL243W	TAD1	directional	+,+	39.48	34.55	74.03	0.5	73.53	41.95	34.55	76.5	2.49	74.01	83.21	79.31
7	45280	45413	134	45346.5	151	YGL241W	KAP114	divergent	-,+	36.03	38.5	74.52	0.44	74.08	40.47	41.46	81.93	2.43	79.5	83.84	85.19
7	48431	48565	135	48498	191	YGL241W	KAP114	directional	+,+	57.74	36.52	94.27	0.45	93.82	60.21	38.99	99.2	2.43	96.77	106.17	103.7
7	49392	49484	93	49438	67	YGL240W	DOC1	directional	+,+	22.7	10.36	33.07	0.31	32.76	28.63	13.33	41.95	2.29	39.66	37.07	42.5
7	53625	53826	202	53725.5	377	YGL236C	MTO1	directional_overlapping	-,-	119.44	66.63	186.06	0.67	185.4	131.28	73.54	204.82	2.65	202.17	209.81	216.64
7	54125	54311	187	54218	256	YGL236C	MTO1	NA	NA	58.73	67.62	126.35	0.62	125.73	68.6	77.98	146.58	2.6	143.98	142.28	154.29
7	56145	56362	218	56253.5	674	YGL234W	ADE5%2C7	directional_overlapping	+,+	146.58	186.06	332.65	0.72	331.92	148.56	191.99	340.54	2.71	337.84	375.63	362.03
7	58918	59014	97	58966	97	YGL234W	ADE5%2C7	directional	+,+	24.68	23.2	47.87	0.32	47.55	28.63	24.68	53.3	2.31	51	53.81	54.65
7	67236	67474	239	67355	177	YGL228W	SHE10	divergent	-,+	34.55	52.81	87.36	0.79	86.57	41.46	60.71	102.16	2.78	99.39	97.96	106.5
7	69464	69538	75	69501	63	YGL227W	VID30	directional	+,+	13.33	17.77	31.09	0.25	30.84	19.74	21.72	41.46	2.23	39.22	34.91	42.03
7	74505	74728	224	74615.5	474	tV(AAC)G3	null	directional	+,+	128.81	105.12	233.94	0.74	233.2	142.14	112.53	254.67	2.73	251.94	263.9	269.98
7	75693	76814	1122	76252.5	4046	YGL225W	VRG4	directional	+,+	1191.41	805.46	1996.87	3.71	1993.15	1192.89	810.39	2003.28	5.7	1997.58	2255.58	2140.62
7	79024	79204	181	79113	188	YGL223C	COG1	NA	NA	51.33	41.46	92.79	0.6	92.19	54.29	45.9	100.19	2.58	97.6	104.32	104.59
7	80416	80673	258	80543.5	373	YGL222C	EDC1	directional	-,-	97.72	86.37	184.09	0.85	183.24	102.16	91.31	193.47	2.84	190.63	207.36	204.28
7	81230	81464	235	81346	993	YGL221C	NIF3	directional	-,-	152.01	338.08	490.09	0.78	489.31	163.36	349.43	512.79	2.76	510.03	553.73	546.55
7	82287	82457	171	82371	320	YGL220W	FRA2	divergent	-,+	93.28	64.65	157.93	0.57	157.37	97.72	73.04	170.77	2.55	168.21	178.09	180.26
7	84297	84616	320	84455.5	766	YGL219C	MDM34	divergent	-,+	220.12	157.93	378.05	1.06	376.99	230.98	172.25	403.22	3.04	400.18	426.63	428.83
7	87303	87481	179	87391	239	YGL216W	KIP3	directional	+,+	36.52	81.43	117.96	0.59	117.36	39.98	83.9	123.88	2.58	121.3	132.82	129.99
7	91309	91451	143	91384	147	YGL212W	VAM7	divergent	-,+	33.07	39.48	72.55	0.47	72.08	44.42	46.89	91.31	2.46	88.85	81.57	95.21
7	92345	92504	160	92428.5	432	YGL212W	VAM7	directional	+,+	163.86	49.35	213.21	0.53	212.68	165.83	50.83	216.66	2.51	214.15	240.68	229.48
7	93584	93751	169	93672	276	YGL211W	NCS6	directional	+,+	66.63	69.59	136.22	0.56	135.66	68.6	71.07	139.67	2.54	137.13	153.52	146.95
7	94703	95129	429	94921	387	YGL210W	YPT32	directional	+,+	92.79	96.24	189.03	1.42	187.61	96.24	100.19	196.43	3.4	193.02	212.31	206.85
7	95441	95658	220	95552.5	220	YGL209W	MIG2	directional	+,+	40.47	66.63	107.1	0.73	106.37	44.91	81.93	126.84	2.71	124.13	120.38	133.01
7	97066	97301	236	97187.5	338	YGL208W	SIP2	directional	+,+	83.9	82.91	166.82	0.78	166.04	88.84	90.32	179.16	2.77	176.39	187.9	189.02
7	98662	98867	206	98768.5	289	YGL208W	SIP2	directional	+,+	62.68	79.95	142.63	0.68	141.95	63.67	80.45	144.11	2.67	141.45	160.64	151.58
7	107639	107948	310	107797.5	585	YGL206C	CHC1	divergent	-,+	94.76	193.96	288.72	1.03	287.7	97.23	199.39	296.62	3.01	293.61	325.57	314.63
