chr	type	start	stop	orientation	sysname	genename 
5	gene	183731	184700	-	YER014C-A	BUD25
5	CDS	183731	184169	-		
5	CDS	184678	184700	-		
5	intron	184170	184677	-		
5	mRNA	183731	184700	-	YER014C-A_mRNA	
5	gene	184541	186775	+	YER015W	FAA2
5	CDS	184541	186775	+		
5	mRNA	184541	186775	+	YER015W_mRNA	
5	gene	188277	189311	+	YER016W	BIM1
5	CDS	188277	189311	+		
5	mRNA	188277	189311	+	YER016W_mRNA	
5	gene	189503	191788	-	YER017C	AFG3
5	CDS	189503	191788	-		
5	mRNA	189503	191788	-	YER017C_mRNA	
5	gene	191959	192624	-	YER018C	SPC25
5	CDS	191959	192624	-		
5	mRNA	191959	192624	-	YER018C_mRNA	
5	gene	192797	194230	+	YER019W	ISC1
5	CDS	192797	194230	+		
5	mRNA	192797	194230	+	YER019W_mRNA	
5	gene	194273	194539	-	YER019C-A	SBH2
5	CDS	194273	194539	-		
5	mRNA	194273	194539	-	YER019C-A_mRNA	
5	gene	195168	196517	+	YER020W	GPA2
5	CDS	195168	196517	+		
5	mRNA	195168	196517	+	YER020W_mRNA	
5	gene	196948	198519	+	YER021W	RPN3
5	CDS	196948	198519	+		
5	mRNA	196948	198519	+	YER021W_mRNA	
5	gene	198812	200875	+	YER022W	SRB4
5	CDS	198812	200875	+		
5	mRNA	198812	200875	+	YER022W_mRNA	
5	gene	201076	201936	+	YER023W	PRO3
5	CDS	201076	201936	+		
5	mRNA	201076	201936	+	YER023W_mRNA	
5	gene	201522	201734	-	YER023C-A	Dubious_ORF
5	CDS	201522	201734	-		
5	mRNA	201522	201734	-	YER023C-A_mRNA	
5	gene	202192	204963	+	YER024W	YAT2
5	CDS	202192	204963	+		
5	mRNA	202192	204963	+	YER024W_mRNA	
5	gene	205251	206834	+	YER025W	GCD11
5	CDS	205251	206834	+		
5	mRNA	205251	206834	+	YER025W_mRNA	
5	tRNA_gene	207357	207428	+	tH%28GUG%29E1	
5	noncoding_exon	207357	207428	+		
5	gene	207644	208474	-	YER026C	CHO1
5	CDS	207644	208474	-		
5	mRNA	207644	208474	-	YER026C_mRNA	
5	gene	208979	210232	-	YER027C	GAL83
5	CDS	208979	210232	-		
5	mRNA	208979	210232	-	YER027C_mRNA	
5	gene	210692	211876	-	YER028C	MIG3
5	CDS	210692	211876	-		
5	mRNA	210692	211876	-	YER028C_mRNA	
5	ARS	212383	212631	.	ARS512	
5	ARS_consensus_sequence	212454	212470	+	ARS512_ARS_consensus_sequence	
5	gene	212587	213177	-	YER029C	SMB1
5	CDS	212587	213177	-		
5	mRNA	212587	213177	-	YER029C_mRNA	
5	gene	213437	213898	+	YER030W	CHZ1
5	CDS	213437	213898	+		
5	mRNA	213437	213898	+	YER030W_mRNA	
5	gene	214076	214747	-	YER031C	YPT31
5	CDS	214076	214747	-		
5	mRNA	214076	214747	-	YER031C_mRNA	
5	gene	215063	217693	+	YER032W	FIR1
5	CDS	215063	217693	+		
5	mRNA	215063	217693	+	YER032W_mRNA	
5	gene	218057	221287	-	YER033C	ZRG8
5	CDS	218057	221287	-		
5	mRNA	218057	221287	-	YER033C_mRNA	
5	gene	221846	222403	+	YER034W	Dubious_ORF
5	CDS	221846	222403	+		
5	mRNA	221846	222403	+	YER034W_mRNA	
5	gene	222639	223076	+	YER035W	EDC2
5	CDS	222639	223076	+		
5	mRNA	222639	223076	+	YER035W_mRNA	
5	gene	223367	225199	-	YER036C	ARB1
5	CDS	223367	225199	-		
5	mRNA	223367	225199	-	YER036C_mRNA	
5	gene	225889	226854	+	YER037W	PHM8
5	CDS	225889	226854	+		
5	mRNA	225889	226854	+	YER037W_mRNA	
5	gene	226858	228252	-	YER038C	KRE29
5	CDS	226858	228252	-		
5	mRNA	226858	228252	-	YER038C_mRNA	
5	gene	228451	228831	+	YER038W-A	Dubious_ORF
5	CDS	228451	228831	+		
5	mRNA	228451	228831	+	YER038W-A_mRNA	
5	gene	228456	229205	-	YER039C	HVG1
5	CDS	228456	229205	-		
5	mRNA	228456	229205	-	YER039C_mRNA	
5	gene	229263	229481	-	YER039C-A	Dubious_ORF
5	CDS	229263	229481	-		
5	mRNA	229263	229481	-	YER039C-A_mRNA	
5	gene	229795	231987	+	YER040W	GLN3
5	CDS	229795	231987	+		
5	mRNA	229795	231987	+	YER040W_mRNA	
5	gene	232461	234740	+	YER041W	YEN1
5	CDS	232461	234740	+		
5	mRNA	232461	234740	+	YER041W_mRNA	
5	gene	234937	235491	+	YER042W	MXR1
5	CDS	234937	235491	+		
5	mRNA	234937	235491	+	YER042W_mRNA	
5	gene	235770	237119	-	YER043C	SAH1
5	CDS	235770	237119	-		
5	mRNA	235770	237119	-	YER043C_mRNA	
5	gene	237570	238016	-	YER044C	ERG28
5	CDS	237570	238016	-		
5	mRNA	237570	238016	-	YER044C_mRNA	
5	gene	238460	239774	-	YER044C-A	MEI4
5	CDS	238460	239623	-		
5	CDS	239712	239774	-		
5	intron	239624	239711	-		
5	mRNA	238460	239774	-	YER044C-A_mRNA	
5	gene	240032	241501	-	YER045C	ACA1
5	CDS	240032	241501	-		
5	mRNA	240032	241501	-	YER045C_mRNA	
5	gene	243180	243611	+	YER046W	SPO73
5	CDS	243180	243611	+		
5	mRNA	243180	243611	+	YER046W_mRNA	
5	gene	243700	244029	+	YER046W-A	Dubious_ORF
5	CDS	243700	244029	+		
5	mRNA	243700	244029	+	YER046W-A_mRNA	
5	gene	243810	246503	-	YER047C	SAP1
5	CDS	243810	246503	-		
5	mRNA	243810	246503	-	YER047C_mRNA	
5	gene	246982	248157	-	YER048C	CAJ1
5	CDS	246982	248157	-		
5	mRNA	246982	248157	-	YER048C_mRNA	
5	long_terminal_repeat	249109	249331	-	YERCdelta8	
5	long_terminal_repeat	249445	249752	+	YERWdelta9	
5	long_terminal_repeat	249930	250270	-	YERCsigma1	
5	tRNA_gene	250286	250357	+	tQ%28UUG%29E1	
5	noncoding_exon	250286	250357	+		
5	gene	250718	251002	+	YER048W-A	ISD11
5	CDS	250718	251002	+		
5	mRNA	250718	251002	+	YER048W-A_mRNA	
5	gene	251728	253662	+	YER049W	TPA1
5	CDS	251728	253662	+		
5	mRNA	251728	253662	+	YER049W_mRNA	
5	gene	253971	254387	-	YER050C	RSM18
5	CDS	253971	254387	-		
5	mRNA	253971	254387	-	YER050C_mRNA	
5	gene	254656	256134	+	YER051W	JHD1
5	CDS	254656	256134	+		
5	mRNA	254656	256134	+	YER051W_mRNA	
5	gene	256375	257958	-	YER052C	HOM3
5	CDS	256375	257958	-		
5	mRNA	256375	257958	-	YER052C_mRNA	
5	ARS	257958	258737	.	ARS513	
5	gene	258737	259639	-	YER053C	PIC2
5	CDS	258737	259639	-		
5	mRNA	258737	259639	-	YER053C_mRNA	
5	gene	260933	261046	-	YER053C-A	Dubious_ORF
5	CDS	260933	261046	-		
5	mRNA	260933	261046	-	YER053C-A_mRNA	
5	gene	262052	263698	-	YER054C	GIP2
5	CDS	262052	263698	-		
5	mRNA	262052	263698	-	YER054C_mRNA	
5	gene	264892	265785	-	YER055C	HIS1
5	CDS	264892	265785	-		
5	mRNA	264892	265785	-	YER055C_mRNA	
5	region	266512	268113	-		
5	gene	266512	268113	-	YER056C	FCY2
5	CDS	266512	268113	-		
5	mRNA	266512	268113	-	YER056C_mRNA	
5	gene	269423	270185	-	YER056C-A	RPL34A
5	CDS	269423	269751	-		
5	CDS	270149	270185	-		
5	intron	269752	270148	-		
5	mRNA	269423	270185	-	YER056C-A_mRNA	
5	gene	270737	271126	-	YER057C	HMF1
5	CDS	270737	271126	-		
5	mRNA	270737	271126	-	YER057C_mRNA	
5	gene	271768	272091	+	YER058W	PET117
5	CDS	271768	272091	+		
5	mRNA	271768	272091	+	YER058W_mRNA	
5	gene	272624	273886	+	YER059W	PCL6
5	CDS	272624	273886	+		
5	mRNA	272624	273886	+	YER059W_mRNA	
5	gene	274567	276153	+	YER060W	FCY21
5	CDS	274567	276153	+		
5	mRNA	274567	276153	+	YER060W_mRNA	
5	ARS	276130	276528	.	ARS513.5	
5	gene	276572	278164	+	YER060W-A	FCY22
5	CDS	276572	278164	+		
5	mRNA	276572	278164	+	YER060W-A_mRNA	
5	ARS	278076	278357	.	ARS513.7	
5	ARS_consensus_sequence	278161	278177	-	ARS513.7_ARS_consensus_sequence	
5	gene	278298	279626	-	YER061C	CEM1
5	CDS	278298	279626	-		
5	mRNA	278298	279626	-	YER061C_mRNA	
5	gene	279930	280682	-	YER062C	GPP2
5	CDS	279930	280682	-		
5	mRNA	279930	280682	-	YER062C_mRNA	
5	gene	281710	282366	+	YER063W	THO1
5	CDS	281710	282366	+		
5	mRNA	281710	282366	+	YER063W_mRNA	
5	gene	282705	284222	-	YER064C	VHR2
5	CDS	282705	284222	-		
5	mRNA	282705	284222	-	YER064C_mRNA	
5	gene	285241	286914	-	YER065C	ICL1
5	CDS	285241	286914	-		
5	mRNA	285241	286914	-	YER065C_mRNA	
5	ARS	287552	287629	.	ARS514	
5	ARS_consensus_sequence	287565	287581	+	ARS514_ARS_consensus_sequence	
5	long_terminal_repeat	287745	288062	-	YERCdelta10	
5	tRNA_gene	288443	288524	-	tS%28UGA%29E	SUP19
5	noncoding_exon	288443	288524	-		
5	gene	290242	290799	+	YER066W	RRT13
5	CDS	290242	290799	+		
5	mRNA	290242	290799	+	YER066W_mRNA	
5	gene	291703	292203	-	YER066C-A	Dubious_ORF
5	CDS	291703	292203	-		
5	mRNA	291703	292203	-	YER066C-A_mRNA	
5	gene	292066	292551	+	YER067W	RGI1
5	CDS	292066	292551	+		
5	mRNA	292066	292551	+	YER067W_mRNA	
5	gene	292240	292563	-	YER067C-A	Dubious_ORF
5	CDS	292240	292563	-		
5	mRNA	292240	292563	-	YER067C-A_mRNA	
5	gene	293050	294813	+	YER068W	MOT2
5	CDS	293050	294813	+		
5	mRNA	293050	294813	+	YER068W_mRNA	
5	gene	295301	295732	-	YER068C-A	Dubious_ORF
5	CDS	295301	295732	-		
5	mRNA	295301	295732	-	YER068C-A_mRNA	
5	gene	295410	298001	+	YER069W	ARG5%2C6
5	CDS	295410	298001	+		
5	mRNA	295410	298001	+	YER069W_mRNA	
5	gene	298950	301616	+	YER070W	RNR1
5	CDS	298950	301616	+		
5	mRNA	298950	301616	+	YER070W_mRNA	
5	gene	301947	302327	-	YER071C	TDA2
5	CDS	301947	302327	-		
5	mRNA	301947	302327	-	YER071C_mRNA	
5	gene	302806	303195	+	YER072W	VTC1
5	CDS	302806	303195	+		
5	mRNA	302806	303195	+	YER072W_mRNA	
5	gene	304030	305592	+	YER073W	ALD5
5	CDS	304030	305592	+		
5	mRNA	304030	305592	+	YER073W_mRNA	
5	gene	306323	307196	+	YER074W	RPS24A
5	CDS	306323	306325	+		
5	CDS	306792	307196	+		
5	intron	306326	306791	+		
5	mRNA	306323	307196	+	YER074W_mRNA	
5	gene	307653	308123	+	YER074W-A	YOS1
5	CDS	307653	307746	+		
5	CDS	307849	307956	+		
5	CDS	308068	308123	+		
5	intron	307747	307848	+		
5	intron	307957	308067	+		
5	mRNA	307653	308123	+	YER074W-A_mRNA	
5	gene	308413	311199	-	YER075C	PTP3
5	CDS	308413	311199	-		
5	mRNA	308413	311199	-	YER075C_mRNA	
5	tRNA_gene	312023	312095	-	tA%28UGC%29E	
5	noncoding_exon	312023	312095	-		
5	long_terminal_repeat	312274	312445	+	YERWdelta11	
5	gene	312590	313498	-	YER076C	Dubious_ORF
5	CDS	312590	313498	-		
5	mRNA	312590	313498	-	YER076C_mRNA	
5	gene	313390	313737	+	YER076W-A	Dubious_ORF
5	CDS	313390	313737	+		
5	mRNA	313390	313737	+	YER076W-A_mRNA	
5	gene	314534	316600	-	YER077C	MRX1
5	CDS	314534	316600	-		
5	mRNA	314534	316600	-	YER077C_mRNA	
5	ARS	316600	316807	.	ARS515	
5	gene	316807	318342	-	YER078C	ICP55
5	CDS	316807	318342	-		
5	mRNA	316807	318342	-	YER078C_mRNA	
5	gene	318646	318810	+	YER078W-A	Dubious_ORF
5	CDS	318646	318810	+		
5	mRNA	318646	318810	+	YER078W-A_mRNA	
5	gene	318920	319552	+	YER079W	Dubious_ORF
5	CDS	318920	319552	+		
5	mRNA	318920	319552	+	YER079W_mRNA	
5	gene	319902	320240	-	YER079C-A	Dubious_ORF
5	CDS	319902	320240	-		
5	mRNA	319902	320240	-	YER079C-A_mRNA	
5	gene	319963	321846	+	YER080W	AIM9
5	CDS	319963	321846	+		
5	mRNA	319963	321846	+	YER080W_mRNA	
5	ncRNA_gene	322212	322762	+	SRG1	SRG1
5	noncoding_exon	322212	322762	+		
5	gene	322686	324095	+	YER081W	SER3
5	CDS	322686	324095	+		
5	mRNA	322686	324095	+	YER081W_mRNA	
5	gene	324272	325936	-	YER082C	UTP7
5	CDS	324272	325936	-		
5	mRNA	324272	325936	-	YER082C_mRNA	
5	gene	326174	327031	-	YER083C	GET2
5	CDS	326174	327031	-		
5	mRNA	326174	327031	-	YER083C_mRNA	
5	gene	327065	327451	+	YER084W	Dubious_ORF
5	CDS	327065	327451	+		
5	mRNA	327065	327451	+	YER084W_mRNA	
5	gene	327598	328110	+	YER084W-A	Dubious_ORF
5	CDS	327598	328110	+		
5	mRNA	327598	328110	+	YER084W-A_mRNA	
5	gene	327619	328140	-	YER085C	Dubious_ORF
5	CDS	327619	328140	-		
5	mRNA	327619	328140	-	YER085C_mRNA	
5	gene	328477	330207	+	YER086W	ILV1
5	CDS	328477	330207	+		
5	mRNA	328477	330207	+	YER086W_mRNA	
5	gene	330576	332306	+	YER087W	AIM10
5	CDS	330576	332306	+		
5	mRNA	330576	332306	+	YER087W_mRNA	
5	gene	331817	332368	-	YER087C-A	Dubious_ORF
5	CDS	331817	332368	-		
5	mRNA	331817	332368	-	YER087C-A_mRNA	
5	gene	332582	332830	-	YER087C-B	SBH1
5	CDS	332582	332830	-		
5	mRNA	332582	332830	-	YER087C-B_mRNA	
5	gene	333176	335188	-	YER088C	DOT6
5	CDS	333176	335188	-		
5	mRNA	333176	335188	-	YER088C_mRNA	
5	gene	335696	336019	-	YER088C-A	Dubious_ORF
5	CDS	335696	336019	-		
5	mRNA	335696	336019	-	YER088C-A_mRNA	
5	gene	335927	336073	+	YER088W-B	Dubious_ORF
5	CDS	335927	336073	+		
5	mRNA	335927	336073	+	YER088W-B_mRNA	
5	gene	335946	337340	-	YER089C	PTC2
5	CDS	335946	337340	-		
5	mRNA	335946	337340	-	YER089C_mRNA	
5	gene	337949	339472	+	YER090W	TRP2
5	CDS	337949	339472	+		
5	mRNA	337949	339472	+	YER090W_mRNA	
5	gene	338322	338411	-	YER090C-A	Dubious_ORF
5	CDS	338322	338411	-		
5	mRNA	338322	338411	-	YER090C-A_mRNA	
5	region	339864	342167	-		
5	gene	339864	342167	-	YER091C	MET6
5	CDS	339864	342167	-		
5	mRNA	339864	342167	-	YER091C_mRNA	
5	gene	342390	342611	-	YER091C-A	Dubious_ORF
5	CDS	342390	342611	-		
5	mRNA	342390	342611	-	YER091C-A_mRNA	
5	gene	342855	343232	+	YER092W	IES5
5	CDS	342855	343232	+		
5	mRNA	342855	343232	+	YER092W_mRNA	
5	gene	343320	347612	-	YER093C	TSC11
5	CDS	343320	347612	-		
5	mRNA	343320	347612	-	YER093C_mRNA	
5	gene	347912	348400	-	YER093C-A	AIM11
5	CDS	347912	348201	-		
5	CDS	348277	348400	-		
5	intron	348202	348276	-		
5	mRNA	347912	348400	-	YER093C-A_mRNA	
5	gene	348729	349346	-	YER094C	PUP3
5	CDS	348729	349346	-		
5	mRNA	348729	349346	-	YER094C_mRNA	
5	gene	349980	351182	+	YER095W	RAD51
5	CDS	349980	351182	+		
5	mRNA	349980	351182	+	YER095W_mRNA	
5	gene	351698	353236	+	YER096W	SHC1
5	CDS	351698	353236	+		
5	mRNA	351698	353236	+	YER096W_mRNA	
5	long_terminal_repeat	353399	353735	+	YERWdelta12	
5	ARS	353578	353636	.	ARS516	
5	ARS_consensus_sequence	353582	353598	+	ARS516_ARS_consensus_sequence	
5	long_terminal_repeat	354136	354850	+	YERWdelta13	
5	long_terminal_repeat	354360	354730	-	YERCtau2	
5	long_terminal_repeat	354851	354917	-	YERCsigma2	
5	tRNA_gene	354934	355005	+	tE%28UUC%29E2	
5	noncoding_exon	354934	355005	+		
5	gene	355140	355469	+	YER097W	Dubious_ORF
5	CDS	355140	355469	+		
5	mRNA	355140	355469	+	YER097W_mRNA	
5	gene	355466	357730	+	YER098W	UBP9
5	CDS	355466	357730	+		
5	mRNA	355466	357730	+	YER098W_mRNA	
5	gene	358105	359061	-	YER099C	PRS2
5	CDS	358105	359061	-		
5	mRNA	358105	359061	-	YER099C_mRNA	
5	gene	359562	360314	+	YER100W	UBC6
5	CDS	359562	360314	+		
5	mRNA	359562	360314	+	YER100W_mRNA	
5	gene	360502	361794	-	YER101C	AST2
5	CDS	360502	361794	-		
5	mRNA	360502	361794	-	YER101C_mRNA	
5	gene	362733	363702	+	YER102W	RPS8B
5	CDS	363100	363702	+		
5	five_prime_UTR_intron	362733	363092	+		
5	mRNA	362733	363702	+	YER102W_mRNA	
5	gene	364589	366517	+	YER103W	SSA4
5	CDS	364589	366517	+		
5	mRNA	364589	366517	+	YER103W_mRNA	
5	gene	366802	367428	+	YER104W	RTT105
5	CDS	366802	367428	+		
5	mRNA	366802	367428	+	YER104W_mRNA	
5	gene	367838	372013	-	YER105C	NUP157
5	CDS	367838	372013	-		
5	mRNA	367838	372013	-	YER105C_mRNA	
5	gene	372326	373234	+	YER106W	MAM1
5	CDS	372326	373234	+		
5	mRNA	372326	373234	+	YER106W_mRNA	
5	gene	373448	374545	-	YER107C	GLE2
5	CDS	373448	374545	-		
5	mRNA	373448	374545	-	YER107C_mRNA	
5	gene	374394	374714	+	YER107W-A	Dubious_ORF
5	CDS	374394	374714	+		
5	mRNA	374394	374714	+	YER107W-A_mRNA	
5	blocked_reading_frame	375215	377614	-	YER109C	FLO8
5	CDS	375215	377614	-		
5	gene	378762	382103	-	YER110C	KAP123
5	CDS	378762	382103	-		
5	mRNA	378762	382103	-	YER110C_mRNA	
5	gene	382595	385876	-	YER111C	SWI4
5	CDS	382595	385876	-		
5	mRNA	382595	385876	-	YER111C_mRNA	
5	gene	387232	387795	+	YER112W	LSM4
5	CDS	387232	387795	+		
5	mRNA	387232	387795	+	YER112W_mRNA	
5	gene	387932	390052	-	YER113C	TMN3
5	CDS	387932	390052	-		
5	mRNA	387932	390052	-	YER113C_mRNA	
5	gene	390590	393712	-	YER114C	BOI2
5	CDS	390590	393712	-		
5	mRNA	390590	393712	-	YER114C_mRNA	
5	gene	394292	394867	-	YER115C	SPR6
5	CDS	394292	394867	-		
5	mRNA	394292	394867	-	YER115C_mRNA	
5	gene	395348	396172	-	YER116C	SLX8
5	CDS	395348	396172	-		
5	mRNA	395348	396172	-	YER116C_mRNA	
5	gene	396769	397653	+	YER117W	RPL23B
5	CDS	396769	396810	+		
5	CDS	397282	397653	+		
5	intron	396811	397281	+		
5	mRNA	396769	397653	+	YER117W_mRNA	
5	gene	397952	399055	-	YER118C	SHO1
5	CDS	397952	399055	-		
5	mRNA	397952	399055	-	YER118C_mRNA	
5	gene	399496	400842	-	YER119C	AVT6
5	CDS	399496	400842	-		
5	mRNA	399496	400842	-	YER119C_mRNA	
5	gene	400867	401238	-	YER119C-A	Dubious_ORF
5	CDS	400867	401238	-		
5	mRNA	400867	401238	-	YER119C-A_mRNA	
5	gene	401135	401869	+	YER120W	SCS2
5	CDS	401135	401869	+		
5	mRNA	401135	401869	+	YER120W_mRNA	
5	gene	402375	402719	+	YER121W	Dubious_ORF
5	CDS	402375	402719	+		
5	mRNA	402375	402719	+	YER121W_mRNA	
5	gene	402871	404352	-	YER122C	GLO3
5	CDS	402871	404352	-		
5	mRNA	402871	404352	-	YER122C_mRNA	
5	gene	404813	406387	+	YER123W	YCK3
5	CDS	404813	406387	+		
5	mRNA	404813	406387	+	YER123W_mRNA	
5	ARS	406752	406953	.	ARS517	
5	gene	407342	409063	-	YER124C	DSE1
5	CDS	407342	409063	-		
5	mRNA	407342	409063	-	YER124C_mRNA	
5	gene	410189	412618	+	YER125W	RSP5
5	CDS	410189	412618	+		
5	mRNA	410189	412618	+	YER125W_mRNA	
5	gene	413394	414179	-	YER126C	NSA2
5	CDS	413394	414179	-		
5	mRNA	413394	414179	-	YER126C_mRNA	
5	gene	414481	415554	+	YER127W	LCP5
5	CDS	414481	415554	+		
5	mRNA	414481	415554	+	YER127W_mRNA	
5	gene	415859	416470	+	YER128W	VFA1
5	CDS	415859	416470	+		
5	mRNA	415859	416470	+	YER128W_mRNA	
5	gene	417281	420709	+	YER129W	SAK1
5	CDS	417281	420709	+		
5	mRNA	417281	420709	+	YER129W_mRNA	
5	gene	421115	422446	-	YER130C	COM2
5	CDS	421115	422446	-		
5	mRNA	421115	422446	-	YER130C_mRNA	
5	gene	423591	424311	+	YER131W	RPS26B
5	CDS	423952	424311	+		
5	five_prime_UTR_intron	423591	423951	+		
5	mRNA	423591	424311	+	YER131W_mRNA	
5	snoRNA_gene	424698	424883	+	snR4	SNR4
5	noncoding_exon	424698	424883	+		
5	gene	425188	430449	-	YER132C	PMD1
5	CDS	425188	430449	-		
5	mRNA	425188	430449	-	YER132C_mRNA	
5	snoRNA_gene	431129	431220	-	snR52	SNR52
5	noncoding_exon	431129	431220	-		
5	long_terminal_repeat	431490	431822	-	YERCdelta14	
5	gene	432495	433958	+	YER133W	GLC7
5	CDS	432495	432671	+		
5	CDS	433197	433958	+		
5	intron	432672	433196	+		
5	mRNA	432495	433958	+	YER133W_mRNA	
5	tRNA_gene	434541	434612	-	tH%28GUG%29E2	
5	noncoding_exon	434541	434612	-		
5	long_terminal_repeat	434631	434971	-	YERCsigma3	
5	long_terminal_repeat	435128	435447	-	YERCdelta15	
5	tRNA_gene	435752	435824	-	tK%28CUU%29E2	
5	noncoding_exon	435752	435824	-		
5	long_terminal_repeat	435946	436277	-	YERCdelta16	
5	long_terminal_repeat	436279	436605	-	YERCtau3	
5	gene	437191	437532	+	YER133W-A	Dubious_ORF
5	CDS	437191	437532	+		
5	mRNA	437191	437532	+	YER133W-A_mRNA	
5	gene	437267	437803	-	YER134C	Dubious_ORF
5	CDS	437267	437803	-		
5	mRNA	437267	437803	-	YER134C_mRNA	
5	gene	437952	438344	-	YER135C	Dubious_ORF
5	CDS	437952	438344	-		
5	mRNA	437952	438344	-	YER135C_mRNA	
5	tRNA_gene	438700	438773	+	tV%28AAC%29E1	
5	noncoding_exon	438700	438773	+		
5	ARS	438934	439182	.	ARS518	
5	ARS_consensus_sequence	439086	439102	-	ARS518_ARS_consensus_sequence	
5	gene	439616	440971	+	YER136W	GDI1
5	CDS	439616	440971	+		
5	mRNA	439616	440971	+	YER136W_mRNA	
5	gene	441373	441819	-	YER137C	Dubious_ORF
5	CDS	441373	441819	-		
5	mRNA	441373	441819	-	YER137C_mRNA	
5	gene	441575	441880	+	YER137W-A	Dubious_ORF
5	CDS	441575	441880	+		
5	mRNA	441575	441880	+	YER137W-A_mRNA	
5	ncRNA_gene	441987	442508	+	SCR1	SCR1
5	noncoding_exon	441987	442508	+		
5	ARS	442416	442735	.	ARS519	
5	long_terminal_repeat	442734	443072	+	YERWdelta17	
5	tRNA_gene	443202	443275	-	tI%28AAU%29E1	
5	noncoding_exon	443202	443275	-		
5	long_terminal_repeat	443397	443733	-	YERCdelta19	
5	LTR_retrotransposon	443397	449320	-	YERCTy1-1	
5	transposable_element_gene	443756	449024	-	YER138C	
5	CDS	443756	447721	-		
5	CDS	447723	449024	-		
5	plus_1_translational_frameshift	447722	447722	-		
5	long_terminal_repeat	444834	445139	+	YERWdelta21	
5	transposable_element_gene	447702	449024	-	YER137C-A	
5	CDS	447702	449024	-		
5	long_terminal_repeat	448984	449320	-	YERCdelta20	
5	gene	449474	449578	+	YER138W-A	Dubious_ORF
5	CDS	449474	449578	+		
5	mRNA	449474	449578	+	YER138W-A_mRNA	
5	gene	450563	451243	-	YER139C	RTR1
5	CDS	450563	451243	-		
5	mRNA	450563	451243	-	YER139C_mRNA	
5	gene	451565	453235	+	YER140W	EMP65
5	CDS	451565	453235	+		
5	mRNA	451565	453235	+	YER140W_mRNA	
5	gene	453459	454919	+	YER141W	COX15
5	CDS	453459	454919	+		
5	mRNA	453459	454919	+	YER141W_mRNA	
5	gene	455146	456036	-	YER142C	MAG1
5	CDS	455146	456036	-		
5	mRNA	455146	456036	-	YER142C_mRNA	
5	gene	456319	457605	+	YER143W	DDI1
5	CDS	456319	457605	+		
5	mRNA	456319	457605	+	YER143W_mRNA	
5	gene	457806	460223	-	YER144C	UBP5
5	CDS	457806	460223	-		
5	mRNA	457806	460223	-	YER144C_mRNA	
5	gene	460526	461740	-	YER145C	FTR1
5	CDS	460526	461740	-		
5	mRNA	460526	461740	-	YER145C_mRNA	
5	gene	462386	462823	-	YER145C-A	Dubious_ORF
5	CDS	462386	462823	-		
5	mRNA	462386	462823	-	YER145C-A_mRNA	
5	gene	462585	462866	+	YER146W	LSM5
5	CDS	462585	462866	+		
5	mRNA	462585	462866	+	YER146W_mRNA	
5	gene	462968	464842	-	YER147C	SCC4
5	CDS	462968	464842	-		
5	mRNA	462968	464842	-	YER147C_mRNA	
5	gene	465203	465613	-	YER147C-A	Dubious_ORF
5	CDS	465203	465613	-		
5	mRNA	465203	465613	-	YER147C-A_mRNA	
5	gene	465303	466025	+	YER148W	SPT15
5	CDS	465303	466025	+		
5	mRNA	465303	466025	+	YER148W_mRNA	
5	gene	466185	466763	+	YER148W-A	Dubious_ORF
5	CDS	466185	466763	+		
5	mRNA	466185	466763	+	YER148W-A_mRNA	
5	gene	466208	467470	-	YER149C	PEA2
5	CDS	466208	467470	-		
5	mRNA	466208	467470	-	YER149C_mRNA	
5	gene	468370	468816	+	YER150W	SPI1
5	CDS	468370	468816	+		
5	mRNA	468370	468816	+	YER150W_mRNA	
5	tRNA_gene	469457	469530	+	tV%28AAC%29E2	
5	noncoding_exon	469457	469530	+		
5	gene	469686	472424	-	YER151C	UBP3
5	CDS	469686	472424	-		
5	mRNA	469686	472424	-	YER151C_mRNA	
5	gene	472657	473988	-	YER152C	Dubious_ORF
5	CDS	472657	473988	-		
5	mRNA	472657	473988	-	YER152C_mRNA	
5	gene	473485	474051	+	YER152W-A	Dubious_ORF
5	CDS	473485	474051	+		
5	mRNA	473485	474051	+	YER152W-A_mRNA	
5	gene	474041	474805	-	YER153C	PET122
5	CDS	474041	474805	-		
5	mRNA	474041	474805	-	YER153C_mRNA	
5	gene	475020	476228	+	YER154W	OXA1
5	CDS	475020	476228	+		
5	mRNA	475020	476228	+	YER154W_mRNA	
5	gene	476345	482848	-	YER155C	BEM2
5	CDS	476345	482848	-		
5	mRNA	476345	482848	-	YER155C_mRNA	
5	gene	483325	484341	-	YER156C	Dubious_ORF
5	CDS	483325	484341	-		
5	mRNA	483325	484341	-	YER156C_mRNA	
5	gene	484788	487193	+	YER157W	COG3
5	CDS	484788	487193	+		
5	mRNA	484788	487193	+	YER157W_mRNA	
5	tRNA_gene	487331	487402	-	tE%28UUC%29E3	
5	noncoding_exon	487331	487402	-		
5	long_terminal_repeat	487834	488165	+	YERWdelta22	
5	gene	488857	490578	-	YER158C	Dubious_ORF
5	CDS	488857	490578	-		
5	mRNA	488857	490578	-	YER158C_mRNA	
5	gene	491487	491702	+	YER158W-A	Dubious_ORF
5	CDS	491487	491702	+		
5	mRNA	491487	491702	+	YER158W-A_mRNA	
5	gene	491530	491958	-	YER159C	BUR6
5	CDS	491530	491958	-		
5	mRNA	491530	491958	-	YER159C_mRNA	
5	tRNA_gene	492352	492424	-	tR%28ACG%29E	
5	noncoding_exon	492352	492424	-		
